,Head
2000-01-27,8.57
2000-03-27,9.14
2000-04-27,8.5
2000-05-26,8.47
2000-06-27,8.44
2000-07-14,8.44
2000-08-28,8.44
2000-09-29,8.42
2000-10-13,8.4
2000-10-27,8.38
2000-11-13,8.5
2000-11-27,8.85
2000-12-14,8.68
2001-01-12,9.77
2001-01-26,9.02
2001-02-14,9.53
2001-02-27,8.73
2001-03-14,9.63
2001-04-18,9.99
2001-05-01,9.85
2001-05-14,9.09
2001-05-28,8.76
2001-06-14,8.75
2001-06-27,8.91
2001-07-13,8.41
2001-07-30,8.51
2001-08-14,8.47
2001-08-27,8.39
2001-09-13,8.45
2001-09-29,8.89
2001-10-17,8.39
2001-10-25,8.39
2001-11-14,8.79
2001-11-28,8.49
2001-12-13,8.94
2001-12-27,8.64
2002-01-14,8.58
2002-01-28,9.78
2002-02-14,9.88
2002-02-26,10.78
2002-03-13,9.27
2002-03-28,10.33
2002-04-12,8.592
2002-04-13,8.59175
2002-04-14,8.58525
2002-04-15,8.553625
2002-04-16,8.5595
2002-04-17,8.561875
2002-04-18,8.564125
2002-04-19,8.576
2002-04-20,8.598375
2002-04-21,8.56775
2002-04-22,8.528375
2002-04-23,8.526
2002-04-24,8.51075
2002-04-25,8.51425
2002-04-26,8.5425
2002-04-27,8.564
2002-04-28,8.576125
2002-04-29,8.54475
2002-04-30,8.574375
2002-05-01,8.571875
2002-05-02,8.55425
2002-05-03,8.521125
2002-05-04,8.514875
2002-05-05,8.519625
2002-05-06,8.638625
2002-05-07,9.001625
2002-05-08,9.396875
2002-05-09,9.604625
2002-05-10,9.580375
2002-05-11,9.457625
2002-05-12,9.312875
2002-05-13,9.176125
2002-05-14,9.133625
2002-05-15,9.11925
2002-05-16,9.09525
2002-05-17,9.044875
2002-05-18,8.98075
2002-05-19,8.8665
2002-05-20,8.78975
2002-05-21,8.7465
2002-05-22,8.719125
2002-05-23,8.698875
2002-05-24,8.668375
2002-05-25,8.670375
2002-05-26,8.661875
2002-05-27,8.6285
2002-05-28,8.629625
2002-05-29,8.61025
2002-05-30,8.592375
2002-05-31,8.590625
2002-06-01,8.64225
2002-06-02,8.651125
2002-06-03,8.591125
2002-06-04,8.539625000000001
2002-06-05,8.517875
2002-06-06,8.49225
2002-06-07,8.484375
2002-06-08,8.4975
2002-06-09,8.511875
2002-06-10,8.51675
2002-06-11,8.564875
2002-06-12,8.65975
2002-06-13,8.684875
2002-06-14,8.706125
2002-06-15,8.752375
2002-06-16,8.752875
2002-06-17,8.67125
2002-06-18,8.614375
2002-06-19,8.5655
2002-06-20,8.531625
2002-06-21,8.516625
2002-06-22,8.513375
2002-06-23,8.48925
2002-06-24,8.44475
2002-06-25,8.435
2002-06-26,8.4155
2002-06-27,8.40625
2002-06-28,8.4085
2002-06-29,8.428
2002-06-30,8.4115
2002-07-01,8.388125
2002-07-02,8.387875
2002-07-03,8.398
2002-07-04,8.384875
2002-07-05,8.390125
2002-07-06,8.4185
2002-07-07,8.450625
2002-07-08,8.431
2002-07-09,8.416
2002-07-10,8.41775
2002-07-11,8.43175
2002-07-12,8.402
2002-07-13,8.400625
2002-07-14,8.423125
2002-07-15,8.40125
2002-07-16,8.417
2002-07-17,8.401
2002-07-18,8.39025
2002-07-19,8.37425
2002-07-20,8.441625
2002-07-21,8.6065
2002-07-22,8.6845
2002-07-23,8.689
2002-07-24,8.632125
2002-07-25,8.573875
2002-07-26,8.529875
2002-07-27,8.501625
2002-07-28,8.460374999999999
2002-07-29,8.41575
2002-07-30,8.384625
2002-07-31,8.385
2002-08-01,8.39
2002-08-02,8.39775
2002-08-03,8.391125
2002-08-04,8.419875
2002-08-05,8.402
2002-08-06,8.384375
2002-08-07,8.401375
2002-08-08,8.404125
2002-08-09,8.40725
2002-08-10,8.419875
2002-08-11,8.416
2002-08-12,8.355125
2002-08-13,8.33025
2002-08-14,8.349625
2002-08-15,8.44675
2002-08-16,8.554875
2002-08-17,8.650500000000001
2002-08-18,8.674125
2002-08-19,8.605375
2002-08-20,8.563375
2002-08-21,8.563
2002-08-22,8.58975
2002-08-23,8.5665
2002-08-24,8.562125
2002-08-25,8.56525
2002-08-26,8.50125
2002-08-27,8.42975
2002-08-28,8.358875
2002-08-29,8.357125
2002-08-30,8.360625
2002-08-31,8.376375
2002-09-01,8.34325
2002-09-02,8.3085
2002-09-03,8.357375
2002-09-04,8.36825
2002-09-05,8.363625
2002-09-06,8.352625
2002-09-07,8.36875
2002-09-08,8.388625
2002-09-09,8.363125
2002-09-10,8.342875
2002-09-11,8.3545
2002-09-12,8.327625
2002-09-13,8.325375
2002-09-14,8.371625
2002-09-15,8.37575
2002-09-16,8.34375
2002-09-17,8.356125
2002-09-18,8.366375
2002-09-19,8.35675
2002-09-20,8.31075
2002-09-21,8.299
2002-09-22,8.26625
2002-09-23,8.200125
2002-09-24,8.21
2002-09-25,8.263125
2002-09-26,8.3085
2002-09-27,8.32775
2002-09-28,8.377625
2002-09-29,8.49725
2002-09-30,8.539
2002-10-01,8.5035
2002-10-02,8.454875
