,rmse,rmsn,sse,mae,nse,evp,rsq,bic,aic
ex-900_B58C0698_1,0.11405679846779901,0.07817317908303997,8.382346859681302,0.08990071664420599,0.9296438475511142,92.96438788131069,0.9295458396769137,28.086237770240725,5.747744139718956
ex-docs_head,0.11436381945503686,0.07943859621252242,8.431169261565534,0.08995659071605253,0.9292645647992669,92.92645659998549,0.9291354842731956,28.074622700851698,5.7361290703299295
ex-step_head,0.11333815562009157,0.07936364933517012,8.278737793882977,0.08972204273840861,0.9808610686133665,98.08613386766287,0.9808415395151736,34.578811323776804,7.772618967150681
ex-tarso_head,0.05036194560427766,,3.639111611395726,0.03924860470071127,0.9724183713097475,97.2421408088051,0.968820110890385,47.39414317364023,11.416520821885792
ex-transform_B28H1808_2,0.12009841788576373,0.02683271084403481,18.686150982218997,0.10558720914076626,0.8431482093941958,85.70812919871288,0.8398971568537158,72.68069837500863,16.144434679394507
ex-well_head,0.18084919399974653,0.039068029104701134,126.53957617614483,0.1465130668800575,0.7378850075647774,74.50556177674976,0.7378507649308466,48.14414925413159,4.3188897712280045
nb04_no-river,0.4635753678110229,0.08806914305888332,1281.2687568681872,0.3256247165231017,0.38566360551390677,38.59735496967323,0.38565307357747636,29.15543278104265,-4.311212164572879
nb04_w-river,0.15209966906121755,0.038818677571533886,137.9271916694455,0.11245757659096339,0.9338664128893527,93.39155153226757,0.9338662198559085,42.306522036076785,2.1465481013381496
nb05_no-well,0.3314231338625126,0.04059370277315513,424.87109114351495,0.2795342364765844,0.11971288207317343,51.732908531096136,0.11980397823344202,29.200185157585178,-2.1035716159173923
nb05_w-well,0.17938390025896178,0.03901233348560048,124.50088234184241,0.14561337086932774,0.7421152670727846,74.92466687218713,0.7420742817573818,56.43738523167867,6.3513743940745595
nb06a_no-trend,0.17664412781913663,0.026554201350574045,94.08408428025504,0.14974014308024644,0.48803963843147014,70.8026079629117,0.4883016474242311,46.99342931179322,4.911622207898294
nb06a_w-trend,0.10538165117204466,0.02596198030336471,33.50978806547599,0.08968634603147889,0.8177917967172544,81.94634482257813,0.8177491604510864,57.06981867859591,8.976324845573135
nb06b_no-step,0.2928546250692912,0.0919138821753733,24.616150430198267,0.22862816169994332,0.7553457839342386,75.80056015771714,0.7553267606059451,21.90799690252954,3.5931945018498084
nb06b_w-step,0.2067181998253974,0.09035450097541896,12.281087001723508,0.16605414688401793,0.8780993676688292,87.83870267588271,0.8779316307595496,28.961642007101347,6.983879126285671
nb07_nonlinear-rch,0.07147288189994981,0.051452336977425364,1.790298542041787,0.056115327009897055,0.8822383225493885,88.22383820017421,0.8820828580348651,45.721525009308024,14.835235221581101
nb08_linear,0.10248946567126055,,27.926666263579822,0.0879151631377207,0.8901615137940149,89.01615238489315,0.8901348921217963,32.76936293138107,3.340835975165965
nb08_tarso,0.053260263377950305,,7.5481563711317765,0.040059123111686676,0.9703378449700117,97.03378572927484,0.970305119624055,59.04303644156853,11.957393311624372
nb08_threshold-transform,0.04601563907844662,,5.628674292207952,0.03533099907447852,0.9778585021582145,97.78585029298176,0.9778564722875223,51.744189854007224,10.544252115306087
nb10_wellmodel,0.2369982729875542,0.09808645461421042,159.69637811934405,0.1776821944307883,0.9299907006148661,93.3281066377601,0.9301242758427788,61.43015236693609,7.853451248627914
nb10_wells-separate,0.23019202485606804,0.09782591221664756,150.65548072322886,0.1840916747073823,0.9339540920080667,93.70062053281768,0.9340801529893009,109.26451057300586,19.97000870915889
nb11_sgi_ex1,0.08181484359612234,0.05950969529177426,2.345116638672072,0.06275393030118907,0.8456930083068868,84.5724213376206,0.8455400341823881,39.320833284326916,12.295329720065856
nb11_sgi_ex2_no-trend,0.17664412781913663,0.026554201350574045,94.08408428025504,0.14974014308024644,0.48803963843147014,70.8026079629117,0.4883016474242311,46.99342931179322,4.911622207898294
nb11_sgi_ex2_w-trend,0.1054222675804173,0.025966416521943085,33.535388668477296,0.0897350648839183,0.8176513155443674,81.93919238376746,0.8176099255690027,57.06829131418328,8.974797481160504
nb11_sgi_ex3,0.2548757311909021,0.24055865620853664,184.69925607938208,0.19274012029014162,0.919030335778773,91.9030343978101,0.9191841767369202,69.09221019028509,9.562542281053782
