,PB05_1
1985-11-14,12.61
1985-11-28,12.73
1985-12-14,12.91
1985-12-28,13.129999999999999
1986-01-13,13.32
1986-01-28,13.55
1986-02-14,13.310000000000002
1986-03-01,13.07
1986-03-14,13.120000000000001
1986-03-28,13.469999999999999
1986-04-14,13.560000000000002
1986-04-28,13.620000000000001
1986-05-14,13.46
1986-05-29,13.170000000000002
1986-07-14,12.650000000000002
1986-07-29,12.52
1986-08-14,12.27
1986-08-28,12.310000000000002
1986-09-15,12.36
1986-09-29,12.379999999999999
1986-10-13,12.330000000000002
1986-10-29,12.61
1986-11-14,12.719999999999999
1986-11-27,12.77
1986-12-14,12.850000000000001
1986-12-28,13.16
1987-01-14,13.27
1987-01-28,13.310000000000002
1987-02-14,13.36
1987-02-28,13.39
1987-03-14,13.45
1987-03-28,13.719999999999999
1987-04-13,13.510000000000002
1987-04-27,13.29
1987-05-14,13.21
1987-05-28,13.150000000000002
1987-06-14,13.25
1987-06-28,13.330000000000002
1987-07-14,12.96
1987-07-28,12.98
1987-08-14,12.89
1987-08-28,12.879999999999999
1987-09-14,12.73
1987-09-28,12.690000000000001
1987-10-14,12.86
1987-10-28,12.89
1987-11-14,12.920000000000002
1987-11-28,13.260000000000002
1987-12-28,13.219999999999999
1988-01-14,13.310000000000002
1988-01-28,13.580000000000002
1988-02-13,13.68
1988-02-27,13.57
1988-03-14,13.830000000000002
1988-03-28,13.96
1988-04-14,13.560000000000002
1988-04-28,13.370000000000001
1988-05-14,13.16
1988-05-28,13.030000000000001
1988-06-14,13.05
1988-06-28,12.84
1988-07-14,12.760000000000002
1988-07-27,13.11
1988-08-14,12.760000000000002
1988-08-30,12.650000000000002
1988-09-14,12.629999999999999
1988-09-28,12.66
1988-10-13,12.82
1988-10-27,12.900000000000002
1988-11-14,12.810000000000002
1988-11-28,12.89
1988-12-13,13.150000000000002
1989-01-14,13.490000000000002
1989-01-28,13.21
1989-02-14,13.21
1989-02-28,13.27
1989-03-14,13.46
1989-03-28,13.48
1989-04-14,13.36
1989-04-28,13.57
1989-05-14,13.21
1989-05-28,12.830000000000002
1989-06-14,12.73
1989-06-28,12.46
1989-07-14,12.350000000000001
1989-07-28,12.21
1989-08-14,12.129999999999999
1989-08-28,12.05
1989-09-13,12.14
1989-09-27,12.2
1989-10-14,12.29
1989-10-28,12.36
1989-11-14,12.46
1989-11-28,12.43
1989-12-14,12.52
1990-01-14,12.760000000000002
1990-01-28,13.0
1990-02-14,13.14
1990-03-13,13.310000000000002
1990-03-27,13.2
1990-04-14,13.04
1990-05-14,12.84
1990-05-28,12.620000000000001
1990-06-14,12.629999999999999
1990-06-28,12.48
1990-07-14,12.45
1990-07-28,12.21
1990-08-13,11.98
1990-08-28,11.920000000000002
1990-09-14,12.16
1990-09-28,12.14
1990-10-14,12.129999999999999
1990-11-14,12.330000000000002
1990-11-28,12.510000000000002
1990-12-14,12.629999999999999
1991-01-14,13.240000000000002
1991-01-28,13.18
1991-02-14,12.96
1991-02-28,13.120000000000001
1991-03-14,13.100000000000001
1991-04-14,12.89
1991-04-27,12.89
1991-05-28,12.690000000000001
1991-06-14,12.54
1991-06-28,12.560000000000002
1991-07-28,12.260000000000002
1991-08-14,12.04
1991-08-28,11.900000000000002
1991-09-13,11.79
1991-09-29,11.95
1991-10-14,11.96
1991-10-28,12.0
1991-11-14,12.39
1991-11-28,12.560000000000002
1991-12-14,12.59
1991-12-28,12.95
1992-01-14,13.010000000000002
1992-01-28,12.940000000000001
1992-02-15,13.060000000000002
1992-02-29,13.030000000000001
1992-03-14,13.04
1992-03-27,13.100000000000001
1992-04-13,13.02
1992-04-28,13.07
1992-05-13,13.010000000000002
1992-05-28,12.71
1992-06-14,12.86
1992-06-28,12.61
1992-07-13,12.36
1992-07-27,12.21
1992-08-14,12.16
1992-08-27,12.21
1992-09-13,12.54
1992-09-27,12.420000000000002
1992-10-15,12.41
1992-10-28,12.530000000000001
1992-11-13,12.620000000000001
1992-11-27,12.89
1992-12-14,13.16
1992-12-29,13.18
1993-01-14,13.41
1993-01-28,13.52
1993-02-15,13.32
1993-02-27,13.379999999999999
1993-03-14,13.260000000000002
1993-04-14,13.080000000000002
1993-04-27,12.990000000000002
1993-05-14,13.010000000000002
1993-05-29,12.84
1993-06-14,12.59
1993-06-28,12.45
1993-07-13,12.23
1993-07-28,12.490000000000002
1993-08-14,12.41
1993-08-28,12.260000000000002
1993-09-14,12.36
1993-09-27,12.830000000000002
1993-10-13,12.96
1993-10-28,13.02
1993-11-15,13.010000000000002
1993-11-29,12.990000000000002
1993-12-13,13.240000000000002
1993-12-29,13.59
1994-01-13,13.7
1994-01-27,13.8
1994-02-15,13.5
1994-02-28,13.46
1994-03-14,13.469999999999999
1994-03-28,13.59
1994-04-14,13.66
1994-04-29,13.370000000000001
1994-05-13,13.23
1994-05-28,13.170000000000002
1994-06-15,13.16
1994-06-28,12.810000000000002
1994-07-14,12.580000000000002
1994-07-27,12.330000000000002
1994-08-15,12.190000000000001
1994-08-27,12.310000000000002
1994-09-15,12.39
1994-09-29,12.670000000000002
1994-10-14,12.73
1994-10-28,12.64
1994-11-14,12.870000000000001
1994-11-28,12.920000000000002
1994-12-13,13.04
1994-12-29,13.219999999999999
1995-01-13,13.310000000000002
1995-01-27,13.560000000000002
1995-02-14,13.7
1995-02-28,13.8
1995-03-13,13.600000000000001
1995-03-28,13.650000000000002
1995-04-13,13.510000000000002
1995-04-27,13.45
1995-05-15,13.04
1995-05-29,13.120000000000001
1995-06-28,12.91
1995-07-14,12.57
1995-07-29,12.29
1995-09-13,12.120000000000001
1995-09-27,12.2
1995-10-13,12.330000000000002
1995-10-27,12.310000000000002
1995-11-14,12.350000000000001
1995-11-27,12.400000000000002
1995-12-14,12.400000000000002
1995-12-28,12.59
1996-01-15,12.600000000000001
1996-01-29,12.59
1996-02-14,12.510000000000002
1996-02-29,12.71
1996-03-14,12.75
1996-03-28,12.740000000000002
1996-04-13,12.650000000000002
1996-04-28,12.55
1996-05-14,12.48
1996-06-15,12.04
1996-07-27,11.71
1996-08-14,11.870000000000001
1996-08-29,12.14
1996-09-13,12.5
1996-09-27,12.39
1996-10-14,12.510000000000002
1996-10-28,12.52
1996-11-15,12.75
1996-11-28,12.89
1996-12-14,13.07
1996-12-28,13.05
1997-01-14,12.82
1997-02-14,13.21
1997-02-28,13.34
1997-03-13,13.2
1997-03-27,13.190000000000001
1997-04-14,13.060000000000002
1997-05-14,13.14
1997-05-28,13.09
1997-06-13,12.810000000000002
1997-06-27,12.760000000000002
1997-07-29,12.71
1997-08-14,12.370000000000001
1997-08-27,12.260000000000002
1997-09-15,12.310000000000002
1997-09-29,12.21
1997-10-14,12.379999999999999
1997-10-29,12.440000000000001
1997-11-13,12.46
1997-11-27,12.400000000000002
1997-12-14,12.59
1998-01-14,13.02
1998-01-28,13.010000000000002
1998-02-14,12.990000000000002
1998-02-28,12.98
1998-03-14,13.280000000000001
1998-03-28,13.190000000000001
1998-04-14,13.330000000000002
1998-04-28,13.34
1998-05-14,13.010000000000002
1998-05-28,12.93
1998-06-15,13.350000000000001
1998-06-29,13.190000000000001
1998-07-15,13.100000000000001
1998-07-28,12.91
1998-08-13,12.620000000000001
1998-08-28,12.61
1998-09-14,13.120000000000001
1998-09-28,13.14
1998-10-14,13.25
1998-10-29,13.48
1998-11-15,13.7
1998-11-29,13.66
1998-12-14,13.740000000000002
1998-12-29,13.71
1999-01-14,13.780000000000001
1999-01-29,13.760000000000002
1999-02-15,13.870000000000001
1999-02-28,13.89
1999-03-15,13.64
1999-03-27,13.690000000000001
1999-04-15,13.580000000000002
1999-04-28,13.36
1999-05-14,13.36
1999-05-28,12.91
1999-06-14,12.810000000000002
1999-06-28,12.629999999999999
1999-07-14,12.629999999999999
1999-07-28,12.3
1999-09-14,12.25
1999-09-29,12.3
1999-10-14,12.36
1999-10-27,12.3
1999-11-28,12.469999999999999
1999-12-14,12.73
1999-12-28,13.04
2000-01-14,13.07
2000-01-28,13.11
2000-02-14,13.240000000000002
2000-02-28,13.39
2000-03-14,13.469999999999999
2000-03-28,13.370000000000001
2000-04-14,13.240000000000002
2000-04-28,13.150000000000002
2000-05-14,12.969999999999999
2000-05-28,12.96
2000-06-14,12.830000000000002
2000-07-14,12.77
2000-07-28,12.830000000000002
2000-08-14,12.57
2000-08-28,12.490000000000002
2000-09-14,12.52
2000-09-28,12.55
2000-10-14,12.670000000000002
2000-10-28,12.8
2000-11-14,12.920000000000002
2000-11-28,13.09
2000-12-14,13.2
2000-12-28,13.07
2001-01-28,13.350000000000001
2001-02-14,13.46
2001-02-28,13.510000000000002
2001-03-14,13.5
2001-04-14,13.5
2001-04-28,13.620000000000001
2001-05-14,13.310000000000002
2001-05-28,13.080000000000002
2001-06-14,12.870000000000001
2001-07-14,12.39
2001-07-28,12.29
2001-08-14,12.32
2001-08-28,12.120000000000001
2001-09-14,12.900000000000002
2001-09-28,12.7
2001-10-14,12.760000000000002
2001-10-28,12.79
2001-11-14,12.870000000000001
2001-11-28,13.010000000000002
2001-12-14,13.09
2002-01-14,13.21
2002-01-28,13.469999999999999
2002-03-14,13.650000000000002
2002-03-28,13.530000000000001
2002-04-14,13.29
2002-04-28,13.370000000000001
2002-05-14,13.27
2002-06-14,12.98
2002-07-14,12.93
2002-07-28,12.82
2002-08-28,13.080000000000002
2002-11-15,13.240000000000002
2003-01-15,13.54
2003-01-27,13.469999999999999
2003-02-14,13.43
2003-02-28,13.34
2003-03-14,13.54
2003-03-28,13.370000000000001
2003-04-14,13.25
2003-04-28,13.170000000000002
2003-05-15,13.04
2003-05-28,13.18
2003-06-16,12.89
2003-07-15,12.46
2003-08-29,12.100000000000001
2003-09-15,12.21
2004-01-30,13.170000000000002
2004-02-13,13.34
2004-02-27,13.310000000000002
2004-03-26,13.190000000000001
2004-04-14,13.21
2004-04-28,13.100000000000001
2004-05-14,13.0
2004-05-28,12.79
2004-06-14,12.780000000000001
2004-06-28,12.490000000000002
2004-08-14,12.55
2004-08-28,12.560000000000002
2004-09-14,12.350000000000001
2004-09-28,12.45
2004-10-14,12.469999999999999
2004-10-28,12.469999999999999
2004-11-14,12.510000000000002
2004-11-28,12.89
2004-12-14,12.940000000000001
2004-12-28,13.04
2005-01-14,13.04
2005-01-28,13.190000000000001
2005-02-14,13.400000000000002
2005-02-28,13.29
2005-03-14,13.34
2005-03-28,13.27
2005-04-14,13.2
2005-04-28,13.240000000000002
2005-05-14,13.240000000000002
2005-05-28,13.04
2005-07-14,12.600000000000001
2005-07-28,12.39
2005-08-14,12.36
2005-08-28,12.41
2005-09-14,12.41
2005-09-28,12.43
2005-10-14,12.330000000000002
2005-10-28,12.469999999999999
2005-11-14,12.5
2005-11-28,12.740000000000002
2005-12-14,12.8
2005-12-28,12.86
2006-01-14,12.93
2006-01-28,12.89
2006-02-14,13.0
2006-02-28,13.129999999999999
2006-03-14,13.32
2006-03-28,13.25
2006-04-14,13.240000000000002
2006-04-28,13.170000000000002
2006-05-14,12.91
2006-05-28,13.05
2006-06-14,12.79
