DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
967,19170602,    6,     ,
967,19170603,  117,     ,
967,19170604,    5,     ,
967,19170605,    0,     ,
967,19170606,    0,     ,
967,19170607,    1,     ,
967,19170608,    6,     ,
967,19170609,   10,     ,
967,19170610,   25,     ,
967,19170611,    0,     ,
967,19170612,  240,     ,
967,19170613,    0,     ,
967,19170614,    0,     ,
967,19170615,    0,     ,
967,19170616,    0,     ,
967,19170617,    0,     ,
967,19170618,    0,     ,
967,19170619,   66,     ,
967,19170620,   71,     ,
967,19170621,    4,     ,
967,19170622,   90,     ,
967,19170623,   91,     ,
967,19170624,    8,     ,
967,19170625,    0,     ,
967,19170626,   28,     ,
967,19170627,    5,     ,
967,19170628,   12,     ,
967,19170629,   39,     ,
967,19170630,   14,     ,
967,19170701,  260,     ,
967,19170702,    0,     ,
967,19170703,    0,     ,
967,19170704,    0,     ,
967,19170705,    0,     ,
967,19170706,    0,     ,
967,19170707,    0,     ,
967,19170708,    0,     ,
967,19170709,   56,     ,
967,19170710,   32,     ,
967,19170711,   48,     ,
967,19170712,    1,     ,
967,19170713,    0,     ,
967,19170714,    0,     ,
967,19170715,  200,     ,
967,19170716,    0,     ,
967,19170717,    4,     ,
967,19170718,    0,     ,
967,19170719,  317,     ,
967,19170720,    0,     ,
967,19170721,   21,     ,
967,19170722,    0,     ,
967,19170723,    0,     ,
967,19170724,    0,     ,
967,19170725,    0,     ,
967,19170726,    8,     ,
967,19170727,    0,     ,
967,19170728,    0,     ,
967,19170729,    0,     ,
967,19170730,  124,     ,
967,19170731,    0,     ,
967,19170801,  487,     ,
967,19170802,   60,     ,
967,19170803,   70,     ,
967,19170804,   73,     ,
967,19170805,   26,     ,
967,19170806,    0,     ,
967,19170807,  122,     ,
967,19170808,    0,     ,
967,19170809,   71,     ,
967,19170810,    0,     ,
967,19170811,    5,     ,
967,19170812,   88,     ,
967,19170813,    8,     ,
967,19170814,   10,     ,
967,19170815,  276,     ,
967,19170816,    9,     ,
967,19170817,   31,     ,
967,19170818,    0,     ,
967,19170819,   51,     ,
967,19170820,    0,     ,
967,19170821,    0,     ,
967,19170822,    1,     ,
967,19170823,    0,     ,
967,19170824,   18,     ,
967,19170825,    0,     ,
967,19170826,    0,     ,
967,19170827,   32,     ,
967,19170828,   91,     ,
967,19170829,   23,     ,
967,19170830,   32,     ,
967,19170831,   14,     ,
967,19170901,    2,     ,
967,19170902,    8,     ,
967,19170903,   34,     ,
967,19170904,    0,     ,
967,19170905,    0,     ,
967,19170906,    0,     ,
967,19170907,    0,     ,
967,19170908,    2,     ,
967,19170909,    0,     ,
967,19170910,    1,     ,
967,19170911,    0,     ,
967,19170912,    0,     ,
967,19170913,   22,     ,
967,19170914,   25,     ,
967,19170915,    0,     ,
967,19170916,    0,     ,
967,19170917,    0,     ,
967,19170918,    0,     ,
967,19170919,    0,     ,
967,19170920,   42,     ,
967,19170921,    2,     ,
967,19170922,    0,     ,
967,19170923,    0,     ,
967,19170924,    0,     ,
967,19170925,    0,     ,
967,19170926,    0,     ,
967,19170927,    2,     ,
967,19170928,    0,     ,
967,19170929,    0,     ,
967,19170930,    0,     ,
967,19171001,    0,     ,
967,19171002,    0,     ,
967,19171003,    2,     ,
967,19171004,   21,     ,
967,19171005,   55,     ,
967,19171006,   34,     ,
967,19171007,   49,     ,
967,19171008,  163,     ,
967,19171009,   47,     ,
967,19171010,   24,     ,
967,19171011,   26,     ,
967,19171012,   18,     ,
967,19171013,  119,     ,
967,19171014,   27,     ,
967,19171015,   10,     ,
967,19171016,    0,     ,
967,19171017,    0,     ,
967,19171018,   10,     ,
967,19171019,   14,     ,
967,19171020,    0,     ,
967,19171021,    1,     ,
967,19171022,   11,     ,
967,19171023,    9,     ,
967,19171024,  145,     ,
967,19171025,   91,     ,
967,19171026,    9,     ,
967,19171027,   42,     ,
967,19171028,    0,     ,
967,19171029,    0,     ,
967,19171030,    6,     ,
967,19171031,    9,     ,
967,19171101,    0,     ,
967,19171102,   17,     ,
967,19171103,   41,     ,
967,19171104,    0,     ,
967,19171105,    0,     ,
967,19171106,    0,     ,
967,19171107,   33,     ,
967,19171108,   22,     ,
967,19171109,   13,     ,
967,19171110,    5,     ,
967,19171111,   12,     ,
967,19171112,    3,     ,
967,19171113,    3,     ,
967,19171114,    6,     ,
967,19171115,   15,     ,
967,19171116,    5,     ,
967,19171117,   13,     ,
967,19171118,    0,     ,
967,19171119,    0,     ,
967,19171120,    9,     ,
967,19171121,  125,     ,
967,19171122,    9,     ,
967,19171123,    0,     ,
967,19171124,    8,     ,
967,19171125,  263,     ,
967,19171126,   36,     ,
967,19171127,   28,     ,
967,19171128,   19,     ,
967,19171129,    1,     ,
967,19171130,    0,     ,
967,19171201,    0,     ,
967,19171202,   21,     ,
967,19171203,  102,     ,
967,19171204,   53,     ,
967,19171205,    3,     ,
967,19171206,    0,     ,
967,19171207,    0,     ,
967,19171208,   19,     ,
967,19171209,   28,     ,
967,19171210,    2,     ,
967,19171211,    1,     ,
967,19171212,    0,     ,
967,19171213,    0,     ,
967,19171214,    7,     ,
967,19171215,   28,     ,
967,19171216,    3,     ,
967,19171217,    3,     ,
967,19171218,    1,     ,
967,19171219,    0,     ,
967,19171220,    0,     ,
967,19171221,    0,     ,
967,19171222,    0,     ,
967,19171223,    0,     ,
967,19171224,    0,     ,
967,19171225,   50,     ,
967,19171226,    3,     ,
967,19171227,    1,     ,
967,19171228,    3,     ,
967,19171229,   20,     ,
967,19171230,    0,     ,
967,19171231,    0,     ,
967,19180101,   19,     ,
967,19180102,    1,     ,
967,19180103,    8,     ,
967,19180104,    6,     ,
967,19180105,    5,     ,
967,19180106,    0,     ,
967,19180107,   25,     ,
967,19180108,    0,     ,
967,19180109,    4,     ,
967,19180110,   36,     ,
967,19180111,   43,     ,
967,19180112,   23,     ,
967,19180113,   10,     ,
967,19180114,    0,     ,
967,19180115,   13,     ,
967,19180116,  397,     ,
967,19180117,   52,     ,
967,19180118,  117,     ,
967,19180119,   21,     ,
967,19180120,    4,     ,
967,19180121,    0,     ,
967,19180122,    6,     ,
967,19180123,    4,     ,
967,19180124,    5,     ,
967,19180125,    8,     ,
967,19180126,    0,     ,
967,19180127,    9,     ,
967,19180128,    5,     ,
967,19180129,    4,     ,
967,19180130,    4,     ,
967,19180131,    2,     ,
967,19180201,    1,     ,
967,19180202,    4,     ,
967,19180203,    1,     ,
967,19180204,    0,     ,
967,19180205,    1,     ,
967,19180206,    0,     ,
967,19180207,   84,     ,
967,19180208,   19,     ,
967,19180209,   30,     ,
967,19180210,    0,     ,
967,19180211,    0,     ,
967,19180212,   27,     ,
967,19180213,   26,     ,
967,19180214,   27,     ,
967,19180215,    2,     ,
967,19180216,    0,     ,
967,19180217,    1,     ,
967,19180218,    0,     ,
967,19180219,    0,     ,
967,19180220,    1,     ,
967,19180221,   45,     ,
967,19180222,    8,     ,
967,19180223,   11,     ,
967,19180224,    0,     ,
967,19180225,    0,     ,
967,19180226,   33,     ,
967,19180227,    0,     ,
967,19180228,   45,     ,
967,19180301,   25,     ,
967,19180302,    9,     ,
967,19180303,    1,     ,
967,19180304,    0,     ,
967,19180305,   20,     ,
967,19180306,    0,     ,
967,19180307,    0,     ,
967,19180308,    0,     ,
967,19180309,    0,     ,
967,19180310,    3,     ,
967,19180311,    2,     ,
967,19180312,    0,     ,
967,19180313,    0,     ,
967,19180314,    0,     ,
967,19180315,    0,     ,
967,19180316,    2,     ,
967,19180317,    0,     ,
967,19180318,    0,     ,
967,19180319,    0,     ,
967,19180320,   48,     ,
967,19180321,   53,     ,
967,19180322,    0,     ,
967,19180323,    3,     ,
967,19180324,    1,     ,
967,19180325,    0,     ,
967,19180326,    2,     ,
967,19180327,    0,     ,
967,19180328,   11,     ,
967,19180329,   18,     ,
967,19180330,   33,     ,
967,19180331,   31,     ,
967,19180401,   23,     ,
967,19180402,    0,     ,
967,19180403,    8,     ,
967,19180404,   27,     ,
967,19180405,   81,     ,
967,19180406,    0,     ,
967,19180407,   52,     ,
967,19180408,   23,     ,
967,19180409,    1,     ,
967,19180410,    0,     ,
967,19180411,    0,     ,
967,19180412,    0,     ,
967,19180413,    0,     ,
967,19180414,    0,     ,
967,19180415,    2,     ,
967,19180416,   21,     ,
967,19180417,    3,     ,
967,19180418,    7,     ,
967,19180419,   26,     ,
967,19180420,   23,     ,
967,19180421,    0,     ,
967,19180422,    0,     ,
967,19180423,    5,     ,
967,19180424,    0,     ,
967,19180425,    4,     ,
967,19180426,   31,     ,
967,19180427,    6,     ,
967,19180428,   16,     ,
967,19180429,    0,     ,
967,19180430,  161,     ,
967,19180501,    0,     ,
967,19180502,    0,     ,
967,19180503,    0,     ,
967,19180504,    0,     ,
967,19180505,   18,     ,
967,19180506,   28,     ,
967,19180507,   16,     ,
967,19180508,    0,     ,
967,19180509,    0,     ,
967,19180510,   41,     ,
967,19180511,    1,     ,
967,19180512,   16,     ,
967,19180513,   14,     ,
967,19180514,   28,     ,
967,19180515,    0,     ,
967,19180516,    0,     ,
967,19180517,    0,     ,
967,19180518,    0,     ,
967,19180519,    0,     ,
967,19180520,    0,     ,
967,19180521,    0,     ,
967,19180522,    0,     ,
967,19180523,    0,     ,
967,19180524,   87,     ,
967,19180525,   82,     ,
967,19180526,    4,     ,
967,19180527,    0,     ,
967,19180528,    0,     ,
967,19180529,    0,     ,
967,19180530,    0,     ,
967,19180531,    0,     ,
967,19180601,    0,     ,
967,19180602,    0,     ,
967,19180603,    0,     ,
967,19180604,    0,     ,
967,19180605,    0,     ,
967,19180606,    0,     ,
967,19180607,    0,     ,
967,19180608,    0,     ,
967,19180609,    0,     ,
967,19180610,   31,     ,
967,19180611,    4,     ,
967,19180612,    0,     ,
967,19180613,    0,     ,
967,19180614,    0,     ,
967,19180615,   19,     ,
967,19180616,    2,     ,
967,19180617,    0,     ,
967,19180618,    0,     ,
967,19180619,    0,     ,
967,19180620,   14,     ,
967,19180621,   61,     ,
967,19180622,   26,     ,
967,19180623,  118,     ,
967,19180624,   67,     ,
967,19180625,   42,     ,
967,19180626,  101,     ,
967,19180627,   11,     ,
967,19180628,    0,     ,
967,19180629,   68,     ,
967,19180630,    0,     ,
967,19180701,    0,     ,
967,19180702,    0,     ,
967,19180703,    0,     ,
967,19180704,    0,     ,
967,19180705,    0,     ,
967,19180706,   12,     ,
967,19180707,    0,     ,
967,19180708,    0,     ,
967,19180709,   56,     ,
967,19180710,    9,     ,
967,19180711,   14,     ,
967,19180712,   46,     ,
967,19180713,   41,     ,
967,19180714,    1,     ,
967,19180715,   24,     ,
967,19180716,    9,     ,
967,19180717,   85,     ,
967,19180718,  103,     ,
967,19180719,   19,     ,
967,19180720,    0,     ,
967,19180721,   24,     ,
967,19180722,   69,     ,
967,19180723,    3,     ,
967,19180724,  112,     ,
967,19180725,    0,     ,
967,19180726,   10,     ,
967,19180727,  131,     ,
967,19180728,  179,     ,
967,19180729,    6,     ,
967,19180730,    0,     ,
967,19180731,    0,     ,
967,19180801,    0,     ,
967,19180802,    0,     ,
967,19180803,   71,     ,
967,19180804,    0,     ,
967,19180805,  134,     ,
967,19180806,   45,     ,
967,19180807,    8,     ,
967,19180808,    1,     ,
967,19180809,    1,     ,
967,19180810,   17,     ,
967,19180811,    0,     ,
967,19180812,    0,     ,
967,19180813,    0,     ,
967,19180814,    1,     ,
967,19180815,    0,     ,
967,19180816,    0,     ,
967,19180817,    1,     ,
967,19180818,  113,     ,
967,19180819,    8,     ,
967,19180820,    0,     ,
967,19180821,    0,     ,
967,19180822,    0,     ,
967,19180823,    0,     ,
967,19180824,   96,     ,
967,19180825,  100,     ,
967,19180826,   46,     ,
967,19180827,   74,     ,
967,19180828,   48,     ,
967,19180829,  119,     ,
967,19180830,   32,     ,
967,19180831,   12,     ,
967,19180901,   76,     ,
967,19180902,   38,     ,
967,19180903,   23,     ,
967,19180904,   39,     ,
967,19180905,    8,     ,
967,19180906,    4,     ,
967,19180907,    8,     ,
967,19180908,    0,     ,
967,19180909,   34,     ,
967,19180910,   58,     ,
967,19180911,   56,     ,
967,19180912,   72,     ,
967,19180913,   65,     ,
967,19180914,    0,     ,
967,19180915,   11,     ,
967,19180916,    3,     ,
967,19180917,    3,     ,
967,19180918,   67,     ,
967,19180919,   56,     ,
967,19180920,    0,     ,
967,19180921,    5,     ,
967,19180922,    6,     ,
967,19180923,   18,     ,
967,19180924,    0,     ,
967,19180925,    0,     ,
967,19180926,   48,     ,
967,19180927,   71,     ,
967,19180928,    9,     ,
967,19180929,   84,     ,
967,19180930,  108,     ,
967,19181001,  141,     ,
967,19181002,   39,     ,
967,19181003,   19,     ,
967,19181004,    0,     ,
967,19181005,    6,     ,
967,19181006,    1,     ,
967,19181007,    0,     ,
967,19181008,   22,     ,
967,19181009,    7,     ,
967,19181010,    0,     ,
967,19181011,    0,     ,
967,19181012,    0,     ,
967,19181013,    0,     ,
967,19181014,    0,     ,
967,19181015,    1,     ,
967,19181016,  277,     ,
967,19181017,  126,     ,
967,19181018,    0,     ,
967,19181019,    0,     ,
967,19181020,   75,     ,
967,19181021,  126,     ,
967,19181022,   54,     ,
967,19181023,    2,     ,
967,19181024,    0,     ,
967,19181025,    0,     ,
967,19181026,    3,     ,
967,19181027,    2,     ,
967,19181028,    0,     ,
967,19181029,    0,     ,
967,19181030,    0,     ,
967,19181031,    0,     ,
967,19181101,    4,     ,
967,19181102,    0,     ,
967,19181103,   43,     ,
967,19181104,    0,     ,
967,19181105,   80,     ,
