Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,22-01-2021,,,,,,,,
Gegevens beschikbaar:,28-06-1960,tot:,14-09-2018,,,,,,,,
Datum: ,22-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46D0802,001,46DP0043,193496,400446,1977,28-03-1960,28-03-1960,25-10-1994,1962,-15,1362,1262
B46D0802,001,46DP0043,193496,400446,1977,25-10-1994,25-10-1994,11-11-1994,1972,-5,1362,1262
B46D0802,001,46DP0043,193496,400446,1976,11-11-1994,11-11-1994,07-01-2011,1972,-4,1482,1382
B46D0802,001,46DP0043,193496,400446,1967,07-01-2011,07-01-2011,14-09-2018,2064,97,1482,1382


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B46D0802,001,28-06-1960,196,211,1766,,,,,,
B46D0802,001,28-07-1960,200,215,1762,,,,,,
B46D0802,001,28-05-1965,105,120,1857,,,,,,
B46D0802,001,28-07-1965,116,131,1846,,,,,,
B46D0802,001,28-08-1965,115,130,1847,,,,,,
B46D0802,001,28-09-1965,150,165,1812,,,,,,
B46D0802,001,28-10-1965,140,155,1822,,,,,,
B46D0802,001,01-12-1965,74,89,1888,,,,,,
B46D0802,001,02-12-1965,73,88,1889,,,,,,
B46D0802,001,30-12-1965,65,80,1897,,,,,,
B46D0802,001,03-02-1966,51,66,1911,,,,,,
B46D0802,001,09-03-1966,71,86,1891,,,,,,
B46D0802,001,05-04-1966,79,94,1883,,,,,,
B46D0802,001,02-05-1966,88,103,1874,,,,,,
B46D0802,001,27-05-1966,109,124,1853,,,,,,
B46D0802,001,28-06-1966,98,113,1864,,,,,,
B46D0802,001,29-07-1966,114,129,1848,,,,,,
B46D0802,001,31-08-1966,156,171,1806,,,,,,
B46D0802,001,28-09-1966,176,191,1786,,,,,,
B46D0802,001,07-11-1966,158,173,1804,,,,,,
B46D0802,001,28-11-1966,109,124,1853,,01dec11 was 100,,,,
B46D0802,001,28-12-1966,69,84,1893,,,,,,
B46D0802,001,27-01-1967,91,106,1871,,,,,,
B46D0802,001,28-02-1967,84,99,1878,,,,,,
B46D0802,001,28-03-1967,110,125,1852,,,,,,
B46D0802,001,28-04-1967,133,148,1829,,,,,,
B46D0802,001,30-05-1967,165,180,1797,,,,,,
B46D0802,001,03-07-1967,198,213,1764,,,,,,
B46D0802,001,28-07-1967,220,235,1742,,,,,,
B46D0802,001,29-08-1967,228,243,1734,,,,,,
B46D0802,001,02-10-1967,235,250,1727,,,,,,
B46D0802,001,27-10-1967,235,250,1727,,01dec11 was 232,,,,
B46D0802,001,01-12-1967,200,215,1762,,,,,,
B46D0802,001,28-12-1967,150,165,1812,,,,,,
B46D0802,001,29-12-1967,130,145,1832,,,,,,
B46D0802,001,29-01-1968,106,121,1856,,,,,,
B46D0802,001,01-03-1968,122,137,1840,,,,,,
B46D0802,001,05-04-1968,141,156,1821,,,,,,
B46D0802,001,07-05-1968,171,186,1791,,,,,,
B46D0802,001,31-05-1968,190,205,1772,,,,,,
B46D0802,001,01-07-1968,181,196,1781,,,,,,
B46D0802,001,31-07-1968,212,227,1750,,,,,,
B46D0802,001,28-08-1968,219,234,1743,,,,,,
B46D0802,001,27-09-1968,192,207,1770,,,,,,
B46D0802,001,28-10-1968,166,181,1796,,,,,,
B46D0802,001,28-11-1968,163,178,1799,,,,,,
B46D0802,001,27-12-1968,173,188,1789,,,,,,
B46D0802,001,28-01-1969,167,182,1795,,,,,,
B46D0802,001,28-02-1969,145,160,1817,,,,,,
B46D0802,001,28-03-1969,145,160,1817,,,,,,
B46D0802,001,28-04-1969,148,163,1814,,,,,,
B46D0802,001,28-05-1969,182,197,1780,,,,,,
B46D0802,001,27-06-1969,208,223,1754,,,,,,
B46D0802,001,28-07-1969,240,255,1722,,,,,,
B46D0802,001,28-08-1969,200,215,1762,,,,,,
B46D0802,001,29-09-1969,253,268,1709,,01dec11 was 260,,,,
B46D0802,001,14-10-1969,260,275,1702,,,,,,
B46D0802,001,28-10-1969,271,286,1691,,,,,,
B46D0802,001,14-11-1969,282,297,1680,,,,,,
B46D0802,001,28-11-1969,262,277,1700,,,,,,
B46D0802,001,15-12-1969,251,266,1711,,01dec11 was 253,,,,
B46D0802,001,29-12-1969,254,269,1708,,,,,,
B46D0802,001,14-01-1970,258,273,1704,,,,,,
B46D0802,001,28-01-1970,258,273,1704,,,,,,
B46D0802,001,16-02-1970,232,247,1730,,,,,,
B46D0802,001,28-02-1970,188,203,1774,,01dec11 was 198,,,,
B46D0802,001,13-03-1970,187,202,1775,,,,,,
B46D0802,001,27-03-1970,170,185,1792,,,,,,
B46D0802,001,14-04-1970,159,174,1803,,,,,,
B46D0802,001,28-04-1970,164,179,1798,,,,,,
B46D0802,001,15-05-1970,185,200,1777,,,,,,
B46D0802,001,28-05-1970,200,215,1762,,,,,,
B46D0802,001,15-06-1970,223,238,1739,,,,,,
B46D0802,001,30-06-1970,244,259,1718,,,,,,
B46D0802,001,14-07-1970,244,259,1718,,,,,,
B46D0802,001,29-07-1970,255,270,1707,,,,,,
B46D0802,001,14-08-1970,265,280,1697,,,,,,
B46D0802,001,28-08-1970,275,290,1687,,,,,,
B46D0802,001,15-09-1970,290,305,1672,,,,,,
B46D0802,001,28-09-1970,286,301,1676,,,,,,
B46D0802,001,14-10-1970,289,304,1673,,,,,,
B46D0802,001,28-10-1970,286,301,1676,,,,,,
B46D0802,001,13-11-1970,265,280,1697,,,,,,
B46D0802,001,27-11-1970,254,269,1708,,,,,,
B46D0802,001,14-12-1970,247,262,1715,,,,,,
B46D0802,001,14-01-1971,247,262,1715,,,,,,
B46D0802,001,28-01-1971,238,253,1724,,,,,,
B46D0802,001,15-02-1971,214,229,1748,,,,,,
B46D0802,001,01-03-1971,207,222,1755,,,,,,
B46D0802,001,15-03-1971,206,221,1756,,,,,,
B46D0802,001,29-03-1971,210,225,1752,,,,,,
B46D0802,001,14-04-1971,221,236,1741,,,,,,
B46D0802,001,28-04-1971,235,250,1727,,,,,,
B46D0802,001,14-05-1971,245,260,1717,,,,,,
B46D0802,001,28-05-1971,242,257,1720,,,,,,
B46D0802,001,14-06-1971,242,257,1720,,,,,,
B46D0802,001,28-06-1971,212,227,1750,,,,,,
B46D0802,001,14-07-1971,222,237,1740,,,,,,
B46D0802,001,28-07-1971,242,257,1720,,,,,,
B46D0802,001,13-08-1971,255,270,1707,,,,,,
B46D0802,001,27-08-1971,261,276,1701,,,,,,
B46D0802,001,14-09-1971,275,290,1687,,,,,,
B46D0802,001,28-09-1971,278,293,1684,,,,,,
B46D0802,001,14-10-1971,282,297,1680,,,,,,
B46D0802,001,28-10-1971,277,292,1685,,,,,,
B46D0802,001,15-11-1971,266,281,1696,,,,,,
B46D0802,001,29-11-1971,249,264,1713,,,,,,
B46D0802,001,14-12-1971,234,249,1728,,,,,,
B46D0802,001,28-12-1971,224,239,1738,,,,,,
B46D0802,001,14-01-1972,215,230,1747,,,,,,
B46D0802,001,28-01-1972,215,230,1747,,,,,,
B46D0802,001,14-02-1972,206,221,1756,,,,,,
B46D0802,001,28-02-1972,201,216,1761,,,,,,
B46D0802,001,14-03-1972,224,239,1738,,,,,,
B46D0802,001,28-03-1972,237,252,1725,,,,,,
B46D0802,001,14-04-1972,231,246,1731,,,,,,
B46D0802,001,28-04-1972,235,250,1727,,,,,,
B46D0802,001,15-05-1972,248,263,1714,,,,,,
B46D0802,001,29-05-1972,260,275,1702,,,,,,
B46D0802,001,14-06-1972,238,253,1724,,,,,,
B46D0802,001,28-06-1972,252,267,1710,,,,,,
B46D0802,001,14-07-1972,245,260,1717,,,,,,
B46D0802,001,28-07-1972,259,274,1703,,,,,,
B46D0802,001,14-08-1972,265,280,1697,,,,,,
B46D0802,001,28-08-1972,270,285,1692,,,,,,
B46D0802,001,14-09-1972,282,297,1680,,,,,,
B46D0802,001,28-09-1972,293,308,1669,,,,,,
B46D0802,001,13-10-1972,300,315,1662,,,,,,
B46D0802,001,27-10-1972,314,329,1648,,,,,,
B46D0802,001,14-11-1972,310,325,1652,,,,,,
B46D0802,001,28-11-1972,310,325,1652,,01dec11 was 305,,,,
B46D0802,001,14-12-1972,302,317,1660,,,,,,
B46D0802,001,28-12-1972,302,317,1660,,,,,,
B46D0802,001,15-01-1973,308,323,1654,,,,,,
B46D0802,001,29-01-1973,313,328,1649,,,,,,
B46D0802,001,14-02-1973,315,330,1647,,,,,,
B46D0802,001,28-02-1973,296,311,1666,,,,,,
B46D0802,001,14-03-1973,286,301,1676,,,,,,
B46D0802,001,28-03-1973,280,295,1682,,,,,,
B46D0802,001,13-04-1973,278,293,1684,,,,,,
B46D0802,001,27-04-1973,270,285,1692,,,,,,
B46D0802,001,14-05-1973,261,276,1701,,,,,,
B46D0802,001,28-05-1973,273,288,1689,,,,,,
B46D0802,001,14-06-1973,280,295,1682,,,,,,
B46D0802,001,28-06-1973,288,303,1674,,,,,,
B46D0802,001,13-07-1973,296,311,1666,,,,,,
B46D0802,001,27-07-1973,303,318,1659,,,,,,
B46D0802,001,14-08-1973,315,330,1647,,,,,,
B46D0802,001,28-08-1973,322,337,1640,,,,,,
B46D0802,001,14-09-1973,329,344,1633,,,,,,
B46D0802,001,28-09-1973,336,351,1626,,,,,,
B46D0802,001,15-10-1973,341,356,1621,,,,,,
B46D0802,001,29-10-1973,342,357,1620,,,,,,
B46D0802,001,14-11-1973,338,353,1624,,,,,,
B46D0802,001,28-11-1973,339,354,1623,,,,,,
B46D0802,001,14-12-1973,332,347,1630,,,,,,
B46D0802,001,03-01-1974,312,327,1650,,,,,,
B46D0802,001,14-01-1974,303,318,1659,,,,,,
B46D0802,001,28-01-1974,290,305,1672,,,,,,
B46D0802,001,14-02-1974,268,283,1694,,,,,,
B46D0802,001,28-02-1974,254,269,1708,,,,,,
B46D0802,001,14-03-1974,253,268,1709,,,,,,
B46D0802,001,28-03-1974,238,253,1724,,,,,,
B46D0802,001,15-04-1974,247,262,1715,,,,,,
B46D0802,001,29-04-1974,258,273,1704,,,,,,
B46D0802,001,14-05-1974,259,274,1703,,,,,,
B46D0802,001,29-05-1974,269,284,1693,,,,,,
B46D0802,001,14-06-1974,278,293,1684,,,,,,
B46D0802,001,28-06-1974,288,303,1674,,,,,,
B46D0802,001,15-07-1974,291,306,1671,,,,,,
B46D0802,001,29-07-1974,296,311,1666,,,,,,
B46D0802,001,14-08-1974,300,315,1662,,,,,,
B46D0802,001,28-08-1974,306,321,1656,,,,,,
B46D0802,001,13-09-1974,,,,D,,,,,
B46D0802,001,27-09-1974,308,323,1654,,,,,,
B46D0802,001,15-10-1974,310,325,1652,,,,,,
B46D0802,001,28-10-1974,304,319,1658,,,,,,
B46D0802,001,14-11-1974,287,302,1675,,,,,,
B46D0802,001,29-11-1974,278,293,1684,,,,,,
B46D0802,001,13-12-1974,236,251,1726,,,,,,
B46D0802,001,27-12-1974,200,215,1762,,,,,,
B46D0802,001,14-01-1975,180,195,1782,,,,,,
B46D0802,001,28-01-1975,173,188,1789,,,,,,
B46D0802,001,14-02-1975,174,189,1788,,,,,,
B46D0802,001,27-02-1975,181,196,1781,,,,,,
B46D0802,001,14-03-1975,185,200,1777,,,,,,
B46D0802,001,28-03-1975,176,191,1786,,,,,,
B46D0802,001,14-04-1975,168,183,1794,,,,,,
B46D0802,001,28-04-1975,179,194,1783,,,,,,
B46D0802,001,14-05-1975,201,216,1761,,,,,,
B46D0802,001,29-05-1975,216,231,1746,,,,,,
B46D0802,001,16-06-1975,235,250,1727,,,,,,
B46D0802,001,27-06-1975,234,249,1728,,,,,,
B46D0802,001,14-07-1975,247,262,1715,,,,,,
B46D0802,001,28-07-1975,261,276,1701,,,,,,
B46D0802,001,14-08-1975,280,295,1682,,,,,,
B46D0802,001,28-08-1975,291,306,1671,,,,,,
B46D0802,001,15-09-1975,303,318,1659,,,,,,
B46D0802,001,29-09-1975,310,325,1652,,,,,,
B46D0802,001,14-10-1975,314,329,1648,,,,,,
B46D0802,001,28-10-1975,318,333,1644,,,,,,
B46D0802,001,14-11-1975,325,340,1637,,,,,,
B46D0802,001,28-11-1975,328,343,1634,,,,,,
B46D0802,001,15-12-1975,312,327,1650,,,,,,
B46D0802,001,29-12-1975,312,327,1650,,,,,,
B46D0802,001,15-01-1976,,,,D,,,,,
B46D0802,001,28-01-1976,293,308,1669,,,,,,
B46D0802,001,13-02-1976,286,301,1676,,,,,,
B46D0802,001,27-02-1976,284,299,1678,,,,,,
B46D0802,001,16-03-1976,288,303,1674,,,,,,
B46D0802,001,29-03-1976,295,310,1667,,,,,,
B46D0802,001,15-04-1976,296,311,1666,,,,,,
B46D0802,001,28-04-1976,300,315,1662,,,,,,
B46D0802,001,14-05-1976,306,321,1656,,,,,,
B46D0802,001,28-05-1976,313,328,1649,,,,,,
B46D0802,001,14-06-1976,318,333,1644,,,,,,
B46D0802,001,16-09-1976,367,382,1595,,,,,,
B46D0802,001,29-09-1976,367,382,1595,,,,,,
B46D0802,001,14-10-1976,368,383,1594,,,,,,
B46D0802,001,28-10-1976,371,386,1591,,,,,,
B46D0802,001,15-11-1976,377,392,1585,,,,,,
B46D0802,001,29-11-1976,375,390,1587,,,,,,
B46D0802,001,14-12-1976,370,385,1592,,,,,,
B46D0802,001,27-12-1976,364,379,1598,,,,,,
B46D0802,001,13-01-1977,352,367,1610,,,,,,
B46D0802,001,28-01-1977,345,360,1617,,,,,,
B46D0802,001,14-02-1977,333,348,1629,,01dec11 was 343,,,,
B46D0802,001,28-02-1977,328,343,1634,,,,,,
B46D0802,001,14-03-1977,318,333,1644,,,,,,
B46D0802,001,28-03-1977,305,320,1657,,,,,,
B46D0802,001,15-04-1977,299,314,1663,,,,,,
B46D0802,001,28-04-1977,285,300,1677,,01dec11 was 295,,,,
B46D0802,001,13-05-1977,298,313,1664,,,,,,
B46D0802,001,27-05-1977,296,311,1666,,,,,,
B46D0802,001,14-06-1977,304,319,1658,,,,,,
B46D0802,001,29-06-1977,302,317,1660,,,,,,
B46D0802,001,14-07-1977,314,329,1648,,,,,,
B46D0802,001,29-07-1977,324,339,1638,,,,,,
B46D0802,001,15-08-1977,331,346,1631,,,,,,
B46D0802,001,29-08-1977,323,338,1639,,,,,,
B46D0802,001,14-09-1977,317,332,1645,,,,,,
B46D0802,001,28-09-1977,315,330,1647,,,,,,
B46D0802,001,14-10-1977,328,343,1634,,,,,,
B46D0802,001,28-10-1977,334,349,1628,,,,,,
B46D0802,001,14-11-1977,336,351,1626,,,,,,
B46D0802,001,28-11-1977,328,343,1634,,,,,,
B46D0802,001,14-12-1977,318,333,1644,,,,,,
B46D0802,001,28-12-1977,308,323,1654,,,,,,
B46D0802,001,13-01-1978,300,315,1662,,,,,,
B46D0802,001,27-01-1978,291,306,1671,,,,,,
B46D0802,001,14-02-1978,282,297,1680,,01dec11 was 287,,,,
B46D0802,001,28-02-1978,278,293,1684,,,,,,
B46D0802,001,15-03-1978,274,289,1688,,,,,,
B46D0802,001,29-03-1978,265,280,1697,,,,,,
B46D0802,001,15-04-1978,249,264,1713,,,,,,
B46D0802,001,28-04-1978,249,264,1713,,,,,,
B46D0802,001,16-05-1978,248,263,1714,,,,,,
B46D0802,001,29-05-1978,252,267,1710,,,,,,
B46D0802,001,15-06-1978,268,283,1694,,,,,,
B46D0802,001,28-06-1978,277,292,1685,,,,,,
B46D0802,001,14-07-1978,261,276,1701,,,,,,
