,river
2004-01-01,-0.5273530278
2004-01-02,-0.5775619101
2004-01-03,-0.6434558826
2004-01-04,-0.7384250928
2004-01-05,-0.8517675582
2004-01-06,-0.9523054439
2004-01-07,-1.0179710532
2004-01-08,-1.0413513647000001
2004-01-09,-1.0620854684
2004-01-10,-1.0608029316
2004-01-11,-0.9820592628
2004-01-12,-0.8271823053
2004-01-13,-0.47678024300000005
2004-01-14,-0.012041507600000001
2004-01-15,0.8050548475
2004-01-16,1.749625522
2004-01-17,2.4244872311
2004-01-18,2.8945815074
2004-01-19,3.1904042552
2004-01-20,3.2322627147
2004-01-21,3.0300419676
2004-01-22,2.8412810017
2004-01-23,2.673052884
2004-01-24,2.5068131819
2004-01-25,2.3174573595
2004-01-26,2.0061565268
2004-01-27,1.6443495733
2004-01-28,1.31446848
2004-01-29,1.0500578699
2004-01-30,0.8192429392
2004-01-31,0.6301245791
2004-02-01,0.4655940625
2004-02-02,0.3658611982
2004-02-03,0.34458348380000003
2004-02-04,0.6193212423000001
2004-02-05,1.1419341929
2004-02-06,1.3676094979
2004-02-07,1.2825972147
2004-02-08,1.1290809581
2004-02-09,0.9701761132000001
2004-02-10,0.8366882713
2004-02-11,0.7685806795
2004-02-12,0.7788833107
2004-02-13,0.8827794122
2004-02-14,0.8885192654
2004-02-15,0.8333302452
2004-02-16,0.7486094505
2004-02-17,0.6245679725000001
2004-02-18,0.4958047974
2004-02-19,0.36776847970000004
2004-02-20,0.2482866202
2004-02-21,0.1255908044
2004-02-22,0.0088242177
2004-02-23,-0.109978871
2004-02-24,-0.18415382200000002
2004-02-25,-0.2461639769
2004-02-26,-0.28873760390000003
2004-02-27,-0.2997158464
2004-02-28,-0.2844483057
2004-02-29,-0.301331829
2004-03-01,-0.3483748413
2004-03-02,-0.3861426673
2004-03-03,-0.3968116022
2004-03-04,-0.4103940954
2004-03-05,-0.44194733300000005
2004-03-06,-0.5047745783
2004-03-07,-0.5626697722
2004-03-08,-0.6072347845
2004-03-09,-0.6395269484
2004-03-10,-0.6435728445000001
2004-03-11,-0.6447562386
2004-03-12,-0.6134432436
2004-03-13,-0.5952381962000001
2004-03-14,-0.5945804039
2004-03-15,-0.6294677193
2004-03-16,-0.6455131736
2004-03-17,-0.6106108194000001
2004-03-18,-0.5558694264
2004-03-19,-0.5067598344
2004-03-20,-0.4316627105
2004-03-21,-0.3929578623
2004-03-22,-0.3251205909
2004-03-23,-0.27855212420000003
2004-03-24,-0.15404501010000002
2004-03-25,0.0315831335
2004-03-26,0.1438081104
2004-03-27,0.1513380936
2004-03-28,0.0829991687
2004-03-29,0.0151769361
2004-03-30,-0.023068405400000002
2004-03-31,-0.0740793392
2004-04-01,-0.1687992075
2004-04-02,-0.2504261672
2004-04-03,-0.3205552222
2004-04-04,-0.3699290053
2004-04-05,-0.3849622431
2004-04-06,-0.3920267799
2004-04-07,-0.3554364082
2004-04-08,-0.3278119152
2004-04-09,-0.3183744609
2004-04-10,-0.2185632428
2004-04-11,-0.0333736273
2004-04-12,0.075514302
2004-04-13,0.0663920951
2004-04-14,-0.0197103792
2004-04-15,-0.1052090875
2004-04-16,-0.18723855790000002
2004-04-17,-0.2439713362
2004-04-18,-0.3087598892
2004-04-19,-0.3678895334
2004-04-20,-0.40875713420000004
2004-04-21,-0.44459057090000004
2004-04-22,-0.4674302416
2004-04-23,-0.49437596380000004
2004-04-24,-0.5194053054000001
2004-04-25,-0.5011280335
2004-04-26,-0.5017978948
2004-04-27,-0.5295876257000001
2004-04-28,-0.5689924129
2004-04-29,-0.5788082399
2004-04-30,-0.5458943012
2004-05-01,-0.5157767693
2004-05-02,-0.5279566043
2004-05-03,-0.5296295829000001
2004-05-04,-0.4713528569
2004-05-05,-0.4096280612
2004-05-06,-0.4171942515
2004-05-07,-0.43687121170000004
2004-05-08,-0.46533971350000003
2004-05-09,-0.32446854880000003
2004-05-10,0.024425772800000002
2004-05-11,0.6969357326000001
2004-05-12,1.2215094222
2004-05-13,1.1922655976
2004-05-14,1.06932044
2004-05-15,0.8893179680000001
2004-05-16,0.6323411682
2004-05-17,0.352242498
2004-05-18,0.1693838429
2004-05-19,0.0226378543
2004-05-20,-0.12522840300000002
2004-05-21,-0.23763068680000002
2004-05-22,-0.336843889
2004-05-23,-0.3732810917
2004-05-24,-0.41695697870000004
2004-05-25,-0.4232946583
2004-05-26,-0.3948170574
2004-05-27,-0.35542730910000003
2004-05-28,-0.3517839237
2004-05-29,-0.3766420877
2004-05-30,-0.4107574292
2004-05-31,-0.4455275931
2004-06-01,-0.4751254628
2004-06-02,-0.43650155900000004
2004-06-03,-0.4215585544
2004-06-04,-0.4174675417
2004-06-05,-0.4086639312
2004-06-06,-0.4012028234
2004-06-07,-0.305993181
2004-06-08,-0.0080015513
2004-06-09,0.3643629358
2004-06-10,0.4699165979
2004-06-11,0.39309227960000004
2004-06-12,0.2985736666
2004-06-13,0.2502991737
2004-06-14,0.2829038047
2004-06-15,0.2915512765
2004-06-16,0.2329320057
2004-06-17,0.1468206218
2004-06-18,0.08991963580000001
2004-06-19,0.0289606846
2004-06-20,-0.0142887433
2004-06-21,-0.06561195460000001
2004-06-22,-0.1212454426
2004-06-23,-0.1662280045
2004-06-24,-0.22365162260000002
2004-06-25,-0.22849641080000002
2004-06-26,-0.2411628604
2004-06-27,-0.2898038465
2004-06-28,-0.35191908390000004
2004-06-29,-0.3913238711
2004-06-30,-0.4260550476
2004-07-01,-0.4632220775
2004-07-02,-0.5050868559
2004-07-03,-0.5425873314
2004-07-04,-0.5587348983
2004-07-05,-0.5655320846
2004-07-06,-0.5312695139
2004-07-07,-0.48247535880000003
2004-07-08,-0.49932286470000004
2004-07-09,-0.5626757119
2004-07-10,-0.5992480748
2004-07-11,-0.5719117213
2004-07-12,-0.427917023
2004-07-13,-0.3679344605
2004-07-14,-0.3525618373
2004-07-15,-0.3441666772
2004-07-16,-0.3485309801
2004-07-17,-0.3491887723
2004-07-18,-0.3725362257
2004-07-19,-0.3107635332
2004-07-20,-0.2852291891
2004-07-21,-0.3076604094
2004-07-22,-0.2744401329
2004-07-23,-0.31781581140000004
2004-07-24,-0.3668622781
2004-07-25,-0.43299946310000004
2004-07-26,-0.4625492464
2004-07-27,-0.437189429
2004-07-28,-0.4034946069
2004-07-29,-0.4106733253
2004-07-30,-0.4003918623
2004-07-31,-0.4165004418
2004-08-01,-0.4783184406
2004-08-02,-0.5698184129
2004-08-03,-0.6510579007
2004-08-04,-0.7043004625
2004-08-05,-0.7664578467000001
2004-08-06,-0.8228842871000001
2004-08-07,-0.8758594984
2004-08-08,-0.9180126059
2004-08-09,-0.9747002676000001
2004-08-10,-0.9956536354000001
2004-08-11,-0.939446459
2004-08-12,-0.9180215155
2004-08-13,-0.8481297334000001
2004-08-14,-0.7558908348000001
2004-08-15,-0.7031410169
2004-08-16,-0.7374785923
2004-08-17,-0.6885372081000001
2004-08-18,-0.6132839454
2004-08-19,-0.5730652273
2004-08-20,-0.5404396177
2004-08-21,-0.5348529334000001
2004-08-22,-0.5274729596000001
2004-08-23,-0.5159600160000001
2004-08-24,-0.5419475479
2004-08-25,-0.5225830548
2004-08-26,-0.5129413752
2004-08-27,-0.5086281287000001
2004-08-28,-0.4276197843
2004-08-29,-0.3337920111
2004-08-30,-0.2588931727
2004-08-31,-0.2001870177
2004-09-01,-0.0803416348
2004-09-02,0.0070071694
2004-09-03,-0.0398678247
2004-09-04,-0.1273939359
2004-09-05,-0.2015328694
2004-09-06,-0.3040591708
2004-09-07,-0.3779998189
2004-09-08,-0.42864722920000004
2004-09-09,-0.5052792017000001
2004-09-10,-0.6162968360000001
2004-09-11,-0.7292217518
2004-09-12,-0.8115906076
2004-09-13,-0.8346073957
2004-09-14,-0.8732103208
2004-09-15,-0.9404558952000001
2004-09-16,-0.9883249075
2004-09-17,-1.0235846559
2004-09-18,-1.0584599022
2004-09-19,-1.1006250787
2004-09-20,-1.1216504814000001
2004-09-21,-1.1141203086
2004-09-22,-1.1167906543
2004-09-23,-1.1449468785
2004-09-24,-1.1108133387
2004-09-25,-0.9197394211000001
2004-09-26,-0.7432845407
2004-09-27,-0.6548813733000001
2004-09-28,-0.5870712097
2004-09-29,-0.5304916003
2004-09-30,-0.4578485279
2004-10-01,-0.43701231160000004
2004-10-02,-0.4676645445
2004-10-03,-0.5336966471
2004-10-04,-0.6230580048000001
2004-10-05,-0.6873088869
2004-10-06,-0.7258336479
2004-10-07,-0.7321802371
2004-10-08,-0.7663828419000001
2004-10-09,-0.8857896966000001
2004-10-10,-0.9829964746000001
2004-10-11,-1.0474005256
2004-10-12,-1.0643109672
2004-10-13,-1.0448473313
2004-10-14,-0.9713511511
2004-10-15,-0.8483189197000001
2004-10-16,-0.7266113719
2004-10-17,-0.6850050345
2004-10-18,-0.7348565226
2004-10-19,-0.7533469292
2004-10-20,-0.7052554934
2004-10-21,-0.5875997814
2004-10-22,-0.4869417743
2004-10-23,-0.3737344691
2004-10-24,-0.3212818899
2004-10-25,-0.2899449464
2004-10-26,-0.3138360105
2004-10-27,-0.3664989443
2004-10-28,-0.4384001205
2004-10-29,-0.5140048376
2004-10-30,-0.559975478
2004-10-31,-0.3558205311
2004-11-01,-0.0625208998
2004-11-02,0.07153450110000001
2004-11-03,0.148713054
2004-11-04,0.1893612012
2004-11-05,0.0490338367
2004-11-06,-0.1171817274
2004-11-07,-0.2299924616
2004-11-08,-0.2881789544
2004-11-09,-0.31855473770000003
2004-11-10,-0.3426860444
2004-11-11,-0.3793274723
2004-11-12,-0.38175441600000004
2004-11-13,-0.4213333506
2004-11-14,-0.43134152340000004
2004-11-15,-0.44492995630000004
2004-11-16,-0.4557942068
2004-11-17,-0.5025459202
2004-11-18,-0.5272899025000001
2004-11-19,-0.536036517
2004-11-20,-0.3555472409
2004-11-21,0.08123355580000001
2004-11-22,0.36459091990000003
2004-11-23,0.3449798653
2004-11-24,0.23324428330000002
2004-11-25,0.1867149934
2004-11-26,0.1773315653
2004-11-27,0.0997774199
2004-11-28,0.0064722787
2004-11-29,-0.0548470364
2004-11-30,-0.13769656700000002
2004-12-01,-0.22395815
2004-12-02,-0.3093877933
2004-12-03,-0.3793425112
2004-12-04,-0.4060539305
2004-12-05,-0.44163505550000004
2004-12-06,-0.5037564221
2004-12-07,-0.5600837199
2004-12-08,-0.5632195121
2004-12-09,-0.6123140652
2004-12-10,-0.6583779086
2004-12-11,-0.7347245218
2004-12-12,-0.7882043564000001
2004-12-13,-0.8486616541
2004-12-14,-0.8998467354
2004-12-15,-0.9489923448
2004-12-16,-0.9977504824000001
2004-12-17,-1.0397053044
2004-12-18,-1.0731598839
2004-12-19,-1.0496743004
2004-12-20,-0.9622772202000001
2004-12-21,-0.8317809111000001
2004-12-22,-0.5842055483
2004-12-23,-0.32383489460000003
2004-12-24,-0.2018991731
2004-12-25,-0.2001662287
2004-12-26,-0.2510299333
2004-12-27,-0.1980905499
2004-12-28,0.0349953754
2004-12-29,0.3716916637
2004-12-30,0.5205218615
2004-12-31,0.46972406250000004
2005-01-01,0.29526037790000004
2005-01-02,0.1276451255
2005-01-03,0.0040362359
2005-01-04,-0.0613169063
2005-01-05,-0.0705410362
2005-01-06,-0.0386903704
2005-01-07,0.0626436273
2005-01-08,0.1333883277
2005-01-09,0.1455560937
2005-01-10,0.17201817120000001
2005-01-11,0.1990179196
2005-01-12,0.1787852798
2005-01-13,0.0837859918
2005-01-14,-0.030064066700000003
2005-01-15,-0.1295537186
2005-01-16,-0.2005687394
2005-01-17,-0.2584099071
2005-01-18,-0.2934323826
2005-01-19,-0.3235679232
2005-01-20,-0.2751911282
2005-01-21,-0.217989744
2005-01-22,0.0538552452
2005-01-23,0.6269836054
2005-01-24,1.1292825926
2005-01-25,1.4862354692
2005-01-26,1.6955441329
2005-01-27,1.5477885186
2005-01-28,1.1918656776
2005-01-29,0.8544514416000001
2005-01-30,0.5715082781
2005-01-31,0.3136726204
2005-02-01,0.126470641
2005-02-02,0.0082653786
2005-02-03,-0.0286222317
2005-02-04,-0.0268710889
2005-02-05,-0.0056412715
2005-02-06,0.034589515700000004
2005-02-07,-0.0070860764
2005-02-08,-0.0514258849
2005-02-09,-0.1090117711
2005-02-10,-0.1928074231
